coverage_onestep,coverage_twostep,coverage_relative_%
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
