coverage_anchors,coverage_twostep,coverage_relative_%
28,13,-53.57142857142857
43,13,-69.76744186046511
51,27,-47.05882352941176
47,26,-44.680851063829785
38,23,-39.473684210526315
1,1,0.0
39,20,-48.717948717948715
52,27,-48.07692307692308
36,17,-52.77777777777778
53,21,-60.37735849056604
27,17,-37.03703703703704
1,1,0.0
69,32,-53.62318840579711
46,27,-41.30434782608695
31,37,19.35483870967742
8,1,-87.5
55,17,-69.0909090909091
46,13,-71.73913043478261
1,1,0.0
36,20,-44.44444444444444
44,18,-59.09090909090909
40,20,-50.0
39,22,-43.58974358974359
60,27,-55.00000000000001
1,1,0.0
46,16,-65.21739130434783
30,15,-50.0
47,15,-68.08510638297872
3,1,-66.66666666666666
38,27,-28.947368421052634
26,23,-11.538461538461538
71,18,-74.64788732394366
71,30,-57.74647887323944
1,1,0.0
42,31,-26.190476190476193
1,1,0.0
46,41,-10.869565217391305
76,25,-67.10526315789474
60,26,-56.666666666666664
41,24,-41.46341463414634
53,23,-56.60377358490566
53,16,-69.81132075471697
33,24,-27.27272727272727
1,1,0.0
31,17,-45.16129032258064
58,29,-50.0
39,30,-23.076923076923077
39,11,-71.7948717948718
31,15,-51.61290322580645
45,14,-68.88888888888889
2,13,550.0
46,21,-54.347826086956516
1,1,0.0
39,28,-28.205128205128204
31,13,-58.06451612903226
36,15,-58.333333333333336
4,1,-75.0
36,13,-63.888888888888886
64,29,-54.6875
46,23,-50.0
39,31,-20.51282051282051
49,35,-28.57142857142857
49,23,-53.06122448979592
42,24,-42.857142857142854
72,24,-66.66666666666666
45,29,-35.55555555555556
43,13,-69.76744186046511
39,26,-33.33333333333333
45,29,-35.55555555555556
55,24,-56.36363636363636
52,27,-48.07692307692308
1,1,0.0
57,31,-45.614035087719294
2,17,750.0
47,14,-70.2127659574468
1,1,0.0
35,23,-34.285714285714285
44,11,-75.0
2,1,-50.0
42,23,-45.23809523809524
49,29,-40.816326530612244
47,31,-34.04255319148936
48,26,-45.83333333333333
54,25,-53.70370370370371
1,1,0.0
73,12,-83.56164383561644
92,32,-65.21739130434783
40,19,-52.5
33,15,-54.54545454545454
1,1,0.0
73,24,-67.12328767123287
34,14,-58.82352941176471
57,24,-57.89473684210527
44,15,-65.9090909090909
41,14,-65.85365853658537
34,23,-32.35294117647059
1,1,0.0
30,24,-20.0
40,25,-37.5
61,28,-54.09836065573771
40,23,-42.5
57,17,-70.17543859649122
65,23,-64.61538461538461
1,1,0.0
76,26,-65.78947368421053
35,28,-20.0
1,1,0.0
44,35,-20.454545454545457
1,1,0.0
2,15,650.0
43,23,-46.51162790697674
38,22,-42.10526315789473
42,23,-45.23809523809524
31,9,-70.96774193548387
65,31,-52.307692307692314
48,33,-31.25
63,10,-84.12698412698413
39,25,-35.8974358974359
5,1,-80.0
62,20,-67.74193548387096
53,17,-67.9245283018868
57,28,-50.877192982456144
55,25,-54.54545454545454
47,36,-23.404255319148938
43,13,-69.76744186046511
2,1,-50.0
60,35,-41.66666666666667
51,23,-54.90196078431373
38,17,-55.26315789473685
59,28,-52.54237288135594
57,25,-56.14035087719298
54,19,-64.81481481481481
13,1,-92.3076923076923
33,25,-24.242424242424242
42,24,-42.857142857142854
36,23,-36.11111111111111
69,21,-69.56521739130434
90,31,-65.55555555555556
44,14,-68.18181818181817
40,27,-32.5
60,18,-70.0
50,15,-70.0
28,19,-32.142857142857146
52,17,-67.3076923076923
1,1,0.0
42,27,-35.714285714285715
40,18,-55.00000000000001
1,1,0.0
72,36,-50.0
37,22,-40.54054054054054
26,19,-26.923076923076923
42,23,-45.23809523809524
40,12,-70.0
33,18,-45.45454545454545
60,23,-61.66666666666667
62,18,-70.96774193548387
35,21,-40.0
52,24,-53.84615384615385
54,16,-70.37037037037037
1,1,0.0
54,21,-61.111111111111114
1,1,0.0
43,16,-62.7906976744186
59,19,-67.79661016949152
61,25,-59.01639344262295
5,19,280.0
44,12,-72.72727272727273
49,12,-75.51020408163265
24,18,-25.0
56,17,-69.64285714285714
68,34,-50.0
44,16,-63.63636363636363
37,23,-37.83783783783784
1,1,0.0
45,25,-44.44444444444444
61,24,-60.65573770491803
67,33,-50.74626865671642
14,20,42.857142857142854
52,25,-51.92307692307693
60,19,-68.33333333333333
75,33,-56.00000000000001
38,29,-23.684210526315788
34,30,-11.76470588235294
44,15,-65.9090909090909
49,26,-46.93877551020408
30,18,-40.0
2,1,-50.0
48,20,-58.333333333333336
30,17,-43.333333333333336
34,19,-44.11764705882353
36,24,-33.33333333333333
10,24,140.0
61,28,-54.09836065573771
1,26,2500.0
45,15,-66.66666666666666
34,29,-14.705882352941178
61,41,-32.78688524590164
55,17,-69.0909090909091
2,1,-50.0
66,13,-80.3030303030303
31,24,-22.58064516129032
37,21,-43.24324324324324
69,33,-52.17391304347826
45,31,-31.11111111111111
41,30,-26.82926829268293
42,19,-54.761904761904766
30,22,-26.666666666666668
42,26,-38.095238095238095
37,27,-27.027027027027028
46,30,-34.78260869565217
40,28,-30.0
27,21,-22.22222222222222
43,11,-74.4186046511628
43,18,-58.139534883720934
37,17,-54.054054054054056
51,39,-23.52941176470588
21,13,-38.095238095238095
44,31,-29.545454545454547
34,15,-55.88235294117647
43,24,-44.18604651162791
62,34,-45.16129032258064
34,31,-8.823529411764707
44,26,-40.909090909090914
36,28,-22.22222222222222
59,26,-55.932203389830505
1,1,0.0
57,25,-56.14035087719298
46,20,-56.52173913043478
72,34,-52.77777777777778
44,32,-27.27272727272727
54,19,-64.81481481481481
45,22,-51.11111111111111
48,14,-70.83333333333334
