coverage_onestep,coverage_twostep,coverage_relative_%
16,18,12.5
6,6,0.0
54,75,38.88888888888889
39,37,-5.128205128205128
23,26,13.043478260869565
2,3,50.0
7,7,0.0
21,24,14.285714285714285
4,6,50.0
23,23,0.0
7,7,0.0
2,3,50.0
53,71,33.9622641509434
50,48,-4.0
26,35,34.61538461538461
2,3,50.0
3,3,0.0
6,6,0.0
3,12,300.0
17,17,0.0
27,30,11.11111111111111
17,17,0.0
12,12,0.0
54,61,12.962962962962962
2,2,0.0
23,38,65.21739130434783
12,12,0.0
8,8,0.0
1,3,200.0
18,19,5.555555555555555
17,14,-17.647058823529413
56,56,0.0
49,57,16.3265306122449
3,3,0.0
36,37,2.7777777777777777
2,3,50.0
54,68,25.925925925925924
53,53,0.0
55,64,16.363636363636363
22,23,4.545454545454546
25,21,-16.0
4,4,0.0
21,19,-9.523809523809524
3,12,300.0
14,13,-7.142857142857142
29,36,24.137931034482758
17,28,64.70588235294117
9,9,0.0
8,7,-12.5
8,9,12.5
31,30,-3.225806451612903
38,41,7.894736842105263
1,1,0.0
24,22,-8.333333333333332
7,10,42.857142857142854
11,11,0.0
2,6,200.0
8,8,0.0
33,34,3.0303030303030303
24,24,0.0
26,27,3.8461538461538463
30,43,43.333333333333336
32,38,18.75
62,63,1.6129032258064515
11,20,81.81818181818183
22,39,77.27272727272727
8,9,12.5
16,16,0.0
36,36,0.0
19,18,-5.263157894736842
29,37,27.586206896551722
3,3,0.0
28,28,0.0
5,6,20.0
6,8,33.33333333333333
3,10,233.33333333333334
6,6,0.0
17,18,5.88235294117647
3,17,466.6666666666667
13,13,0.0
42,42,0.0
30,24,-20.0
20,20,0.0
16,16,0.0
3,4,33.33333333333333
4,4,0.0
101,101,0.0
11,9,-18.181818181818183
11,19,72.72727272727273
3,8,166.66666666666669
24,23,-4.166666666666666
14,15,7.142857142857142
17,17,0.0
8,8,0.0
14,13,-7.142857142857142
12,12,0.0
1,1,0.0
12,14,16.666666666666664
22,24,9.090909090909092
26,26,0.0
12,12,0.0
10,11,10.0
43,44,2.3255813953488373
4,5,25.0
36,36,0.0
26,37,42.30769230769231
2,2,0.0
48,72,50.0
3,8,166.66666666666669
12,12,0.0
56,77,37.5
12,14,16.666666666666664
11,11,0.0
4,4,0.0
56,66,17.857142857142858
47,71,51.06382978723404
4,3,-25.0
42,38,-9.523809523809524
2,12,500.0
17,17,0.0
5,5,0.0
2,101,4950.0
21,31,47.61904761904761
41,43,4.878048780487805
11,11,0.0
4,3,-25.0
28,29,3.571428571428571
18,19,5.555555555555555
3,3,0.0
27,34,25.925925925925924
13,13,0.0
21,27,28.57142857142857
1,1,0.0
26,26,0.0
27,27,0.0
16,16,0.0
39,38,-2.564102564102564
54,67,24.074074074074073
12,13,8.333333333333332
37,37,0.0
15,17,13.333333333333334
5,6,20.0
8,8,0.0
17,19,11.76470588235294
1,2,100.0
18,18,0.0
13,13,0.0
1,1,0.0
61,90,47.540983606557376
20,20,0.0
32,30,-6.25
34,37,8.823529411764707
8,8,0.0
14,14,0.0
33,31,-6.0606060606060606
13,21,61.53846153846154
21,23,9.523809523809524
27,25,-7.4074074074074066
10,10,0.0
4,8,100.0
26,26,0.0
1,1,0.0
15,15,0.0
11,12,9.090909090909092
13,13,0.0
11,11,0.0
5,6,20.0
8,9,12.5
18,17,-5.555555555555555
26,22,-15.384615384615385
24,23,-4.166666666666666
13,14,7.6923076923076925
29,42,44.827586206896555
2,2,0.0
61,65,6.557377049180328
35,35,0.0
18,28,55.55555555555556
10,9,-10.0
28,28,0.0
27,28,3.7037037037037033
55,76,38.18181818181819
55,74,34.54545454545455
24,32,33.33333333333333
17,20,17.647058823529413
13,13,0.0
10,10,0.0
1,1,0.0
17,19,11.76470588235294
6,6,0.0
13,13,0.0
16,16,0.0
8,7,-12.5
19,19,0.0
7,7,0.0
32,38,18.75
26,30,15.384615384615385
50,65,30.0
17,16,-5.88235294117647
1,5,400.0
3,5,66.66666666666666
55,68,23.636363636363637
9,7,-22.22222222222222
30,29,-3.3333333333333335
23,23,0.0
24,44,83.33333333333334
4,4,0.0
26,27,3.8461538461538463
31,28,-9.67741935483871
21,17,-19.047619047619047
23,24,4.3478260869565215
9,9,0.0
29,29,0.0
9,9,0.0
29,30,3.4482758620689653
13,13,0.0
42,45,7.142857142857142
10,8,-20.0
19,21,10.526315789473683
9,9,0.0
11,12,9.090909090909092
51,63,23.52941176470588
26,26,0.0
24,36,50.0
25,25,0.0
21,21,0.0
5,4,-20.0
62,64,3.225806451612903
23,21,-8.695652173913043
43,67,55.81395348837209
31,45,45.16129032258064
8,8,0.0
23,23,0.0
8,8,0.0
