coverage_anchors,coverage_twostep,coverage_relative_%
15,1,-93.33333333333333
22,2,-90.9090909090909
10,1,-90.0
20,1,-95.0
29,1,-96.55172413793103
3,1,-66.66666666666666
9,1,-88.88888888888889
9,1,-88.88888888888889
26,1,-96.15384615384616
8,1,-87.5
24,1,-95.83333333333334
19,1,-94.73684210526315
6,1,-83.33333333333334
8,1,-87.5
20,1,-95.0
11,1,-90.9090909090909
24,1,-95.83333333333334
12,1,-91.66666666666666
9,1,-88.88888888888889
10,1,-90.0
8,1,-87.5
7,1,-85.71428571428571
8,1,-87.5
17,1,-94.11764705882352
6,1,-83.33333333333334
9,1,-88.88888888888889
7,2,-71.42857142857143
6,1,-83.33333333333334
5,1,-80.0
17,1,-94.11764705882352
5,1,-80.0
6,1,-83.33333333333334
23,1,-95.65217391304348
22,1,-95.45454545454545
6,1,-83.33333333333334
5,1,-80.0
22,2,-90.9090909090909
37,2,-94.5945945945946
6,1,-83.33333333333334
16,1,-93.75
11,1,-90.9090909090909
9,1,-88.88888888888889
11,2,-81.81818181818183
1,1,0.0
14,1,-92.85714285714286
6,1,-83.33333333333334
9,1,-88.88888888888889
21,1,-95.23809523809523
6,2,-66.66666666666666
14,1,-92.85714285714286
14,1,-92.85714285714286
14,1,-92.85714285714286
9,1,-88.88888888888889
12,1,-91.66666666666666
11,1,-90.9090909090909
12,1,-91.66666666666666
5,1,-80.0
26,1,-96.15384615384616
10,1,-90.0
13,1,-92.3076923076923
9,1,-88.88888888888889
5,1,-80.0
3,1,-66.66666666666666
7,1,-85.71428571428571
16,1,-93.75
6,1,-83.33333333333334
26,1,-96.15384615384616
17,1,-94.11764705882352
21,2,-90.47619047619048
27,1,-96.29629629629629
12,2,-83.33333333333334
15,1,-93.33333333333333
16,3,-81.25
7,1,-85.71428571428571
15,1,-93.33333333333333
26,1,-96.15384615384616
4,1,-75.0
13,1,-92.3076923076923
9,1,-88.88888888888889
5,1,-80.0
21,1,-95.23809523809523
22,1,-95.45454545454545
13,1,-92.3076923076923
15,1,-93.33333333333333
14,1,-92.85714285714286
15,1,-93.33333333333333
9,1,-88.88888888888889
11,1,-90.9090909090909
14,1,-92.85714285714286
11,1,-90.9090909090909
19,1,-94.73684210526315
16,1,-93.75
17,2,-88.23529411764706
13,1,-92.3076923076923
5,1,-80.0
21,1,-95.23809523809523
11,1,-90.9090909090909
3,1,-66.66666666666666
12,1,-91.66666666666666
17,1,-94.11764705882352
25,1,-96.0
14,1,-92.85714285714286
10,2,-80.0
9,1,-88.88888888888889
25,1,-96.0
10,1,-90.0
18,1,-94.44444444444444
12,1,-91.66666666666666
6,1,-83.33333333333334
12,1,-91.66666666666666
18,1,-94.44444444444444
14,1,-92.85714285714286
8,1,-87.5
8,1,-87.5
13,1,-92.3076923076923
12,1,-91.66666666666666
8,1,-87.5
2,1,-50.0
8,1,-87.5
23,1,-95.65217391304348
9,1,-88.88888888888889
10,1,-90.0
8,1,-87.5
12,1,-91.66666666666666
5,1,-80.0
10,1,-90.0
5,1,-80.0
8,1,-87.5
10,1,-90.0
15,1,-93.33333333333333
4,1,-75.0
20,1,-95.0
4,1,-75.0
13,1,-92.3076923076923
