coverage_onestep,coverage_twostep,coverage_relative_%
2,2,0.0
3,3,0.0
2,3,50.0
5,8,60.0
3,6,100.0
1,2,100.0
3,4,33.33333333333333
2,4,100.0
1,1,0.0
2,2,0.0
2,2,0.0
1,1,0.0
1,1,0.0
1,1,0.0
3,5,66.66666666666666
3,4,33.33333333333333
5,5,0.0
2,4,100.0
1,1,0.0
1,1,0.0
1,1,0.0
3,3,0.0
2,2,0.0
1,1,0.0
3,3,0.0
2,2,0.0
1,1,0.0
4,5,25.0
1,1,0.0
1,1,0.0
1,1,0.0
2,3,50.0
2,2,0.0
2,7,250.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
15,19,26.666666666666668
8,8,0.0
1,1,0.0
1,1,0.0
2,2,0.0
2,2,0.0
1,1,0.0
5,4,-20.0
2,2,0.0
2,2,0.0
1,1,0.0
1,1,0.0
1,1,0.0
7,9,28.57142857142857
2,3,50.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
2,6,200.0
2,2,0.0
1,1,0.0
2,2,0.0
1,1,0.0
5,5,0.0
2,1,-50.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
2,3,50.0
1,1,0.0
7,7,0.0
1,2,100.0
2,3,50.0
2,4,100.0
1,1,0.0
4,6,50.0
1,1,0.0
5,5,0.0
1,3,200.0
1,1,0.0
1,1,0.0
2,2,0.0
1,1,0.0
4,4,0.0
1,2,100.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
3,3,0.0
3,2,-33.33333333333333
1,1,0.0
1,4,300.0
4,5,25.0
4,4,0.0
2,2,0.0
1,1,0.0
2,2,0.0
4,4,0.0
1,1,0.0
1,1,0.0
2,2,0.0
1,1,0.0
2,2,0.0
2,3,50.0
1,3,200.0
2,2,0.0
4,4,0.0
1,1,0.0
1,1,0.0
1,1,0.0
4,4,0.0
1,1,0.0
2,2,0.0
3,3,0.0
2,3,50.0
1,1,0.0
2,2,0.0
1,5,400.0
1,1,0.0
1,1,0.0
6,5,-16.666666666666664
3,4,33.33333333333333
1,1,0.0
2,1,-50.0
3,7,133.33333333333331
4,6,50.0
1,2,100.0
2,3,50.0
1,1,0.0
4,4,0.0
1,1,0.0
